English	Italiano
Stun	Stordimento
Stun Build	Accumulo di stordimento
Stun Build-up	Accumulo di stordimento
Stun Buildup Increase:	Aumento accumulo stordimento:
Stun Damage	Danno da stordimento
Stun Shatter Burst	Scarica Frantumante
Stunned	Stordito
Stunning Pounce	Balzo Stordente
Stunning Tempo	Tempo Stordente
SUB-ENTRIES	SOTTOVOCI
Sudden Stride	Falcata Improvvisa
Sundering	Squassante
Sunflower Patch	Aiuola di Girasoli
Super Ultra Wide (1440p)	Super ultrapanoramico (1440p)
Support	Supporto
Surge	Ondata
Surge Of Mastery	Ondata di Maestria
Surge of Mastery	Ondata di Maestria
Surgecasting	Lancio d'Ondata
Surged	Montante
Surging	Montante
Suspicious Shop	Negozio sospetto
Suspicious Trader	Mercante sospetto
Swap	Cambio
Swap to Earlwood Map and select Earlwood Village Waygate.	Passa alla mappa di Earlwood e seleziona il Varco del Villaggio.
Swift	Veloce
Swift Strike	Colpo Veloce
Swiftstep	Passo Rapido
Switch page	Cambia pagina
Sword	Spada
Sword Swap	Cambio a spada
Sylbos	Sylbos
Tab	Tab
Table	Tavolo
Take All	Prendi tutto
Take all	Prendi tutto
Take Matching	Prendi i corrispondenti
Talk	Parla
Tall Earlwood Pot Plant	Pianta Alta in Vaso di Earlwood
Tamsin	Tamsin
Tamsin Required	Richiede Tamsin
Tamsin's Shop	Negozio di Tamsin
Target needs at least {0} {1} stacks	Il bersaglio necessita di almeno {0} cariche di {1}
Target not an Ally	Il bersaglio non è un alleato
Target not in Range	Bersaglio fuori portata
Teleport	Teletrasporto
Teleport To:	Teletrasporto a:
Tempered Bracer	Bracciale Temprato
Tempered Cincture	Cintura Temprata
Tempo Conversion	Conversione di Tempo
Temporal	Temporale
Temporal Cleave	Fendente Temporale
Temporal Echo	Eco temporale
Temporal Pressure	Pressione temporale
Temporal Ripple	Ondulazione Temporale
Temporal Rot	Marciume Temporale
Temporal Surge	Ondata temporale
Ten	Dieci
Tender	Tender
Tenderberry	Tenderberry
Tenderberry Plot	Appezzamento di Tenderberry
Tenderberry Seed	Seme di Tenderberry
Tenderberry Tea	Tè di Tenderberry
Tendon Slice	Taglio dei Tendini
Tent	Tenda
That chest is full.	Quella cassa è piena.
That crafting slot is full.	Quello slot di produzione è pieno.
That item does not teach a craftable recipe	Quell'oggetto non insegna una ricetta realizzabile
That name is reserved and cannot be used	Quel nome è riservato e non si può usare
That name is too long to save. Please use fewer characters	Quel nome è troppo lungo da salvare. Usa meno caratteri
That node cannot be refunded	Quel nodo non è rimborsabile
That node isn't purchased	Quel nodo non è stato acquistato
That party name is already taken	Quel nome di gruppo è già in uso
That player is already in a party	Quel giocatore è già in un gruppo
That player is already in your party	Quel giocatore è già nel tuo gruppo
That player is not in this party	Quel giocatore non è in questo gruppo
That player is not in your party	Quel giocatore non è nel tuo gruppo
That stack is already fully selected	Quella pila è già selezionata per intero
Thaumablossom	Thaumablossom
Thaumablossom Plot	Appezzamento di Thaumablossom
Thaumablossom Seed	Seme di Thaumablossom
Thaumablossom Tea	Tè di Thaumablossom
The auto-drink slot's stack is already full	La pila dello slot di idratazione è già piena
The auto-eat slot's stack is already full	La pila dello slot di alimentazione è già piena
The bells of Dimraeth toll for {0}	Le campane di Dimraeth suonano per {0}
The Corrupted Glade	La Radura Corrotta
The Earlwood Banner Weaver	La Tessitrice di Stendardi di Earlwood
The Earlwood Guild Leader	Il capo della Gilda di Earlwood
The Earlwood Guild Trainer	L'Addestratore della Gilda di Earlwood
The Earlwood Scout	L'esploratore di Earlwood
The first hand begins in {0} seconds...	La prima mano inizia in {0} secondi...
The Forest Path	Il Sentiero della Foresta
The Forest Throne	Il Trono della Foresta
The Gentlest Spirit	Lo spirito più gentile
The Gnawed Tunnels	I Tunnel Rosicchiati
The Greater Wildwood	Il Grande Wildwood
The Guild Hall	La Sede della Gilda
The Guild's Communal Campfire	Il Falò Comune della Gilda
The Hoard Halls	Le Sale del Tesoro
The Hoard King's Den	La Tana del Re del Tesoro
The Longest Name	Il Nome Più Lungo
The Lost Caverns	Le Caverne Perdute
The Lost Caverns Tutorial	Tutorial delle Caverne Perdute
The Rootcall Veil	Il Velo del Richiamo delle Radici
The Rootward Road	La Strada delle Radici
The Ruins of Lost Lament	Le Rovine del Lamento Perduto
The Sanctum	Il Santuario
The Sanctum Waygate	Il Varco del Santuario
The Sealed Approach	L'Accesso Sigillato
The Sealed Approach Camp	Campo dell'Accesso Sigillato
The server has a different difficulty than this character	Il server ha una difficoltà diversa da questo personaggio
The Shard Court	La Corte dei Frammenti
The table is full.	Il tavolo è pieno.
The Traveling Merchant	Il mercante ambulante
The Travelling Merchant	Il Mercante Itinerante
The Twisting Woods	I Boschi Tortuosi
The Twisting Woods Camp	Campo dei Boschi Tortuosi
The Wildwood Golem	Il Golem di Wildwood
Thelongestnamee	Thelongestnamee
Thick Skin	Pelle Spessa
Thickblood Broth	Brodo di Sangue Denso
Third Strike	Terzo Colpo
Thirst	Sete
This action is on cooldown	Questa azione è in recupero
This belongs to another player.	Questo appartiene a un altro giocatore.
This deed is already in progress	Questo incarico è già in corso
This item can be refilled by resting at a campfire	Questo oggetto si ricarica riposando presso un falò
This item is locked	Questo oggetto è bloccato
This recipe requires: {0}	Questa ricetta richiede: {0}
This server only allows new characters or returning players	Questo server ammette solo personaggi nuovi o di ritorno
This tier is not yet unlocked	Questo grado non è ancora sbloccato
This world accepts new characters only	Questo mondo accetta solo nuovi personaggi
Thorn Spikes	Punte di Spine
Thornborn	Nato dalle Spine
Three	Tre
Thrust	Perforante
Thrust Armor	Armatura perforante
Thrust Armor:	Armatura perforante:
Thrust Damage	Danno perforante
Thrust Damage:	Danno perforante:
Thrust Piercing	Penetrazione perforante
Thrust Piercing:	Penetrazione perforante:
Tidal Wave	Onda di Marea
Tidepool	Pozza di Marea
Tidestorm	Tempesta di Marea
Time	Tempo
Time Magic	Magia del tempo
Timeless Flames	Fiamme Atemporali
Timeless Void	Vuoto eterno
Tips	Suggerimenti
Title	Titolo
To <color=#FFDA00>attack</color> press 	Per <color=#FFDA00>attaccare</color> premi 
To <color=#FFDA00>block</color> hold	Per <color=#FFDA00>parare</color> tieni premuto
To <color=#FFDA00>block</color> press 	Per <color=#FFDA00>parare</color> premi 
To <color=#FFDA00>dash</color> press	Per <color=#FFDA00>scattare</color> premi
To <color=#FFDA00>lock the target</color> press 	Per <color=#FFDA00>bloccare il bersaglio</color> premi 
To <color=#FFDA00>run</color> hold	Per <color=#FFDA00>correre</color> tieni premuto
to cancel	per annullare
to interact and collect the items	per interagire e raccogliere gli oggetti
To pick up the item Press	Per raccogliere l'oggetto premi
to revive	per rianimare
to revive at the nearest waypoint.	per rianimarti al punto di passaggio più vicino.
Toggle Break Equipment	Attiva/disattiva rottura equipaggiamento
Toggle Stats Dropdown	Apri/chiudi l'elenco delle statistiche
Toggle Tooltips	Mostra/nascondi descrizioni
Too heavy to travel. Store or drop some weight first.	Troppo pesante per viaggiare. Deposita o getta del peso.
Too heavy, dropping excess.	Troppo pesante, getto l'eccesso.
Tool Level	Livello strumento
Tools	Strumenti
Total	Totale
Total Attributes	Attributi totali
Total Banned Players	Giocatori banditi in totale
Toxic	Tossico
Toxic Oil	Olio Tossico
Toxic Oil Coating	Rivestimento di Olio Tossico
Toxic Slice	Taglio Tossico
Toxicbloom	Fiore Tossico
Track Name	Nome traccia
Track Quest	Segui missione
Track your New Quest in the Quest Menu with	Segui la nuova missione nel menu Missioni con
Trade	Scambia
Trail Fork	Bivio del Sentiero
Train	Allena
Trainer	Addestratore
Training Dummy	Manichino da allenamento
Transfer all items	Trasferisci tutti gli oggetti
Transfer All to Inventory	Trasferisci tutto nell'inventario
Transfer Item	Trasferisci oggetto
Transfer item	Trasferisci oggetto
Transfer Stack	Trasferisci la pila
Trap	Trappola
Travel	Viaggia
Traveling Merchant	Mercante ambulante
Traveller	Viandante
Treant	Treant
Treant Attack	Attacco di Treant
Treant Empowered	Treant potenziato
Treant Head	Testa di Treant
Treant Heart	Cuore di Treant
Treant Stool	Sgabello di Treant
Treant Swipe	Fendente di Treant
Treant Trophy	Trofeo di Treant
Treant Wood	Legno di Treant
Treant Wood Stool	Sgabello di Legno di Treant
Treants	Treant
Tree Growth	Crescita dell'Albero
Tree-Father	Padre degli Alberi
tree-father	padre degli alberi
tree-folk	gente degli alberi
Treefathers	Padri degli Alberi
Troll	Troll
TURN IN	CONSEGNA
Twin Daggers	Pugnali gemelli
Two	Due
Type	Tipo
TYPE	TIPO
Types	Tipi
Tyrant Quake	Sisma del Tiranno
UI Scaling	Scala dell'interfaccia
Unable to fetch lobbies.	Impossibile recuperare le lobby.
Unable to load news	Impossibile caricare le novità
Uncommon	Non comune
Under Root Camp	Campo Sottoradice
Under-coat	Sottoveste
Unknown	Sconosciuto
Unknown Hand	Mano sconosciuta
Unknown host	Ospite sconosciuto
Unlock Builds	Sblocca le costruzioni
Unraveling	Disfacente
Untargetable	Non bersagliabile
Unyielding	Inflessibile
Upgrade	Migliora
Upgrade Cost	Costo del miglioramento
Upgrade Saqi to expand her menu of crafted meals.	Migliora Saqi per ampliare il suo menu di pasti preparati.
Use	Usa
Use <color=#FFDA00>Map Crystals</color> to fill in your Map.	Usa i <color=#FFDA00>cristalli di mappa</color> per completare la mappa.
Use/Equip	Usa/Equipaggia
Used In	Usato in
Utility	Utilità
Vanguard	Avanguardia
Vanish	Dissolvenza
Vanishing Strike	Colpo dissolvente
Vehement Cleave	Fendente veemente
Venom Spit	Sputo Velenoso
Venomous	Velenoso
Versatile Warrior	Guerriero Versatile
Veylenth Vordae	Veylenth Vordae
Virulent Casting	Lancio Virulento
Vital Conduit	Condotto Vitale
Vitals	Vitali
Vitals & Utility	Vitali e utilità
Void	Vuoto
Vortex	Vortice
VSync	VSync
Wait for revival or hold 	Attendi la rianimazione o tieni premuto 
Waiting for another player to join...	In attesa di un altro giocatore...
Waiting for player to sleep	In attesa che il giocatore dorma
Walk up to the chest and interact	Avvicinati alla cassa e interagisci
Walk up to the chest and press	Avvicinati alla cassa e premi
Wall	Muro
Wall Decor	Decorazioni da muro
Wall-mounted trophy from a felled Goblin King.	Trofeo da muro ricavato da un Re Goblin abbattuto.
Wall-mounted trophy from a felled Treant.	Trofeo da muro ricavato da un Treant abbattuto.
Walls	Muri
War Banner	Stendardo di Guerra
War Cat	Gatto da Guerra
War Roar	Ruggito di Guerra
ward stake	palo protettivo
ward-stone	pietra protettiva
ward-work	trama protettiva
Wardbound	Legato alla Guardia
warding banner	stendardo protettivo
Warming Broth	Brodo Riscaldante
Water	Acqua
Water Flask	Fiasca d'Acqua
Water Pool	Pozza d'Acqua
Water Surge	Ondata d'Acqua
Water Well	Pozzo d'Acqua
Wave	Onda
Wave Strike	Colpo d'onda
way-stones	pietre del cammino
Wayfinder Line	Linea dei Cercavia
Waygate	Varco
Waygate Menu	Menu dei Varchi
Waygate Scroll	Pergamena del Varco
Waygate:	Varco:
Waygates	Varchi
Waypoint	Punto di passaggio
Waypoints	Punti di passaggio
waystone	pietra del cammino
Waystone Burrow	Tana della Pietra del Cammino
Waywell	Pozzo del Cammino
Weak Health Extract	Estratto Debole di Salute
Weak Magic Extract	Estratto Debole di Magia
Weak Point Sense	Senso del Punto Debole
Weapon	Arma
Weapon Oil	Olio per armi
Weapon Swap	Cambio arma
Weather:	Meteo:
Weaving Jabs	Jab Intrecciati
Weight	Peso
Welcome to Dimraeth!	Benvenuto a Dimraeth!
Well Rested	Ben riposato
Well Rested Buff	Bonus Ben Riposato
West Lookout Camp	Campo d'Osservazione Ovest
West River Camp	Campo del Fiume Ovest
Whirl Of Gore	Vortice di Sangue
Wild Strider	Passo Silvestre
Wildfire	Incendio Selvaggio
Wildroot Father	Padre delle Radici Selvatiche
Wildstrider	Passosilvestre
Wildwood	Wildwood
Wildwood Aetherfang Wolf	Lupo Zanna d'Etere di Wildwood
Wildwood Aetherfang Wolf Empowered	Lupo Zanna d'Etere di Wildwood potenziato
Wildwood Caverns	Caverne di Wildwood
Wildwood Center	Centro di Wildwood
Wildwood East Waygate	Varco Est di Wildwood
Wildwood Forest	Foresta di Wildwood
Wildwood North Waygate	Varco Nord di Wildwood
Wildwood Pine	Pino di Wildwood
Wildwood Pine Door Frame	Telaio di Pino di Wildwood
Wildwood Pine Floor	Pavimento di Pino di Wildwood
Wildwood Pine Pillar	Pilastro di Pino di Wildwood
Wildwood Pine Stairs	Scale di Pino di Wildwood
Wildwood Pine Wall	Muro di Pino di Wildwood
Wildwood Roadside Camp	Campo sulla Strada di Wildwood
Wildwood Ruins	Rovine di Wildwood
Wildwood Wolf	Lupo di Wildwood
Wildwood Wolf Alpha	Lupo di Wildwood alfa
Wildwood Wolf Alpha B	Lupo di Wildwood alfa B
Wildwood Wolf Empowered	Lupo di Wildwood potenziato
Window	Finestra
Winter Focus	Concentrazione Invernale
Winterguard	Guardia Invernale
Wishlist	Lista dei desideri
With Character	Con il personaggio
With Friends	Con gli amici
Withering	Avvizzente
Woldroot Stomp	Pestone di Woldroot
Woldroot Swipe	Fendente di Woldroot
Woldroot The Path Guardian	Woldroot il Guardiano del Sentiero
Wolf Fang	Zanna di Lupo
Wolf Pack Sense	Senso del Branco
Wolf Pounce	Balzo del Lupo
Wolves	Lupi
Wood Planks	Tavole di Legno
Wood Wall	Muro di Legno
Woodfire Stove	Stufa a legna
Woodfire Stove Required	Richiede una stufa a legna
Woodland Flax	Lino silvestre
Workbench	Banco da lavoro
Workbench Required	Richiede un banco da lavoro
Workbenches	Banchi da lavoro
Workers periodically harvest Copper Ore.	I lavoratori raccolgono periodicamente Minerale di Rame.
Workers periodically harvest Heart Oak.	I lavoratori raccolgono periodicamente Quercia del Cuore.
Workers periodically harvest Stone.	I lavoratori raccolgono periodicamente Pietra.
Workers periodically harvest Wildwood Pine.	I lavoratori raccolgono periodicamente Pino di Wildwood.
World	Mondo
World Difficulty	Difficoltà del mondo
World name is already used or reserved	Il nome del mondo è già in uso o riservato
World name is too long	Il nome del mondo è troppo lungo
World name must be at least 2 characters	Il nome del mondo deve avere almeno 2 caratteri
world name required	nome del mondo obbligatorio
World Options	Opzioni del mondo
Worp Plant	Pianta di Worp
Worps	worp
worps	worp
XP increased	XP aumentati
Xwin	Xwin
Xwin Dreadhorn	Cornispavento di Xwin
Year	Anno
Years	Anni
Yes	Sì
You are already in a party	Sei già in un gruppo
You are blocked by that player	Quel giocatore ti ha bloccato
You are carrying too much weight to unequip this pet.	Trasporti troppo peso per rimuovere questo compagno.
You are currently in combat	Sei in combattimento
You are getting hungry. Health is reduced.	Stai diventando affamato. La salute è ridotta.
You are Incapacitated!	Sei incapacitato!
You can only assign combat items to quick slots	Negli slot rapidi puoi assegnare solo oggetti da combattimento
You can only have one bandage equipped	Puoi equipaggiare una sola benda
You can only have one boon potion equipped	Puoi equipaggiare una sola pozione del favore
You can only have one burn salve equipped	Puoi equipaggiare un solo unguento per ustioni
You can only have one concentration potion equipped	Puoi equipaggiare una sola pozione di concentrazione
You can only have one health potion equipped	Puoi equipaggiare una sola pozione di salute
You can only have one offensive tool equipped	Puoi equipaggiare un solo strumento offensivo
You can only have one poison cure equipped	Puoi equipaggiare un solo antidoto
You can only have one stamina potion equipped	Puoi equipaggiare una sola pozione di vigore
You can only have one weapon oil equipped	Puoi equipaggiare un solo olio per armi
You cannot carry that much weight	Non puoi trasportare tutto quel peso
You cannot carry that much weight.	Non puoi trasportare tutto quel peso.
You cannot do that during combat	Non puoi farlo durante il combattimento
You cannot drop that	Non puoi gettarlo
You cannot put your pet into their own backpack.	Non puoi mettere il compagno nel suo stesso zaino.
You do not have enough space for that	Non hai spazio sufficiente
You do not have the required attributes	Non hai gli attributi richiesti
You don't own this pet.	Questo compagno non è tuo.
You feel thirsty. Stamina and concentration are reduced.	Hai sete. Vigore e concentrazione sono ridotti.
You have already unlocked this buildable	Hai già sbloccato questa costruzione
You have already unlocked this recipe	Hai già sbloccato questa ricetta
You have already unlocked this spell	Hai già sbloccato questo incantesimo
You have been invited to join party: {0}	Sei stato invitato a unirti al gruppo: {0}
You have been kicked from the party	Sei stato espulso dal gruppo
You have left the party	Hai lasciato il gruppo
You haven't learned this recipe yet. Use the item instead	Non hai ancora appreso questa ricetta. Usa invece l'oggetto
You leveled up!	Sei salito di livello!
You must be in a party to be a leader	Devi essere in un gruppo per esserne il capo
You must be in a party to leave	Devi essere in un gruppo per uscirne
You must be invited to a party	Devi essere invitato a un gruppo
You must be the party leader to disband a party	Devi essere il capogruppo per scioglierlo
You must be the party leader to transfer party ownership	Devi essere il capogruppo per trasferirne la proprietà
You must leave your current party first	Devi prima lasciare il gruppo attuale
You rested	Ti sei riposato
You slept until {0}:00	Hai dormito fino alle {0}:00
You've already recently invited that player	Hai già invitato quel giocatore di recente
Your Character	Il tuo personaggio
Your character's archetype based on race and class.	L'archetipo del tuo personaggio, in base a razza e classe.
Your character's class.	La classe del tuo personaggio.
Your character's name.	Il nome del tuo personaggio.
Your character's race.	La razza del tuo personaggio.
Your current level.	Il tuo livello attuale.
Your level is too low to equip this item	Il tuo livello è troppo basso per questo oggetto
Your nourishment is low. Regeneration is reduced.	Il tuo nutrimento è basso. La rigenerazione è ridotta.
Your party is already at the maximum size	Il tuo gruppo ha già raggiunto la dimensione massima
Your World	Il tuo mondo
{0} - Set active	{0} - Set attivo
{0} - {1}-Piece: {2}	{0} - {1} pezzi: {2}
{0} bet {1} chips.	{0} ha puntato {1} fiche.
{0} Bleeding Duration	{0} Durata sanguinamento
{0} Blunt Armor	{0} Armatura contundente
{0} Blunt Piercing	{0} Penetrazione contundente
{0} Burning Duration	{0} Durata ustione
{0} called.	{0} ha chiamato.
{0} cannot sit in (not enough gold).	{0} non può entrare (oro insufficiente).
{0} checked.	{0} ha passato.
{0} Chill Duration	{0} Durata gelo
{0} class is required for this spell	Questo incantesimo richiede la classe {0}
{0} Decay Piercing	{0} Penetrazione da decadimento
{0} Decay Resistance	{0} Resistenza al decadimento
{0} Electricity Piercing	{0} Penetrazione da elettricità
{0} Electricity Resistance	{0} Resistenza all'elettricità
{0} Ether Piercing	{0} Penetrazione da etere
{0} Ether Resistance	{0} Resistenza all'etere
{0} Fire Piercing	{0} Penetrazione da fuoco
{0} folded.	{0} si è ritirato.
{0} has been kicked from the party	{0} è stato espulso dal gruppo
{0} has begun to rest	{0} ha iniziato a riposare
{0} has begun to sleep	{0} ha iniziato a dormire
{0} has decayed away!	{0} si è decomposto!
{0} has decayed into {1}!	{0} si è decomposto in {1}!
{0} has disconnected	{0} si è disconnesso
{0} has joined the party	{0} si è unito al gruppo
{0} has joined the server	{0} è entrato nel server
{0} has joined the table in seat {1}.	{0} si è unito al tavolo al posto {1}.
{0} has killed {1}	{0} ha ucciso {1}
{0} has killed {1} with {2}	{0} ha ucciso {1} con {2}
{0} has left the party	{0} ha lasciato il gruppo
{0} is asking for support	{0} chiede supporto
{0} is now level {1}	{0} è ora di livello {1}
{0} is now the big blind.	{0} è ora il buio grande.
{0} is now the party leader	{0} è ora il capogruppo
{0} is now the small blind.	{0} è ora il buio piccolo.
{0} is playing on {1} mode	{0} sta giocando in modalità {1}
{0} is requesting to make rest	{0} chiede di riposare
{0} is reserved	{0} è riservato
{0} is sitting out (not enough gold for the buy-in).	{0} salta il turno (oro insufficiente per l'ingresso).
{0} Poison Duration	{0} Durata veleno
{0} Poison Piercing	{0} Penetrazione da veleno
{0} race is required for this spell	Questo incantesimo richiede la razza {0}
{0} Rage Duration	{0} Durata furia
{0} raised {1} chips.	{0} ha rilanciato di {1} fiche.
{0} ran out of chips and is sitting out.	{0} ha esaurito le fiche e salta il turno.
{0} ran out of chips and left the table.	{0} ha esaurito le fiche e ha lasciato il tavolo.
{0} ran out of time and folds.	{0} ha esaurito il tempo e passa.
{0} ready to harvest	{0} pronto per il raccolto
{0} refilled	{0} ricaricato
{0} reset	{0} azzerato
{0} returned	{0} restituito
{0} sat back in.	{0} è rientrato.
{0} sat out.	{0} salta il turno.
{0} shown / {1} found	{0} mostrati / {1} trovati
{0} still growing	{0} è ancora in crescita
{0} Strike Armor	{0} Armatura da taglio
{0} Strike Piercing	{0} Penetrazione da taglio
{0} Thrust Armor	{0} Armatura perforante
{0} Thrust Piercing	{0} Penetrazione perforante
{0} tie for the pot of {1}! Each receives {2}.	{0} pareggiano per il piatto di {1}! Ognuno riceve {2}.
{0} wants help attacking {1}	{0} chiede aiuto per attaccare {1}
{0} wants someone to pick up {1}	{0} chiede a qualcuno di raccogliere {1}
{0} wants to defend {1}	{0} vuole difendere {1}
{0} wants to harvest {1}	{0} vuole raccogliere {1}
{0} wants to talk to {1}	{0} vuole parlare con {1}
{0} went all-in with {1} chips.	{0} è andato all-in con {1} fiche.
{0} wins a side pot of {1} with {2}.	{0} vince un piatto laterale di {1} con {2}.
{0} wins the main pot of {1}.	{0} vince il piatto principale di {1}.
{0} wins the pot of {1} with {2}.	{0} vince il piatto di {1} con {2}.
{0} {1}/sec	{0} {1}/sec
{0}'s hand was folded automatically.	La mano di {0} è stata passata automaticamente.
